X,Date,Time,Player1,Player2,Sets_P1,Sets_P2,P1_G1,P2_G1,P1_G2,P2_G2,P1_G3,P2_G3,P1_G4,P2_G4,P1_G5,P2_G5,HomeWinner,Series_Type,Is_Exciting,P1_Elo,P2_Elo,Elo_Diff,P1_WinRate,P2_WinRate,WinRate_Diff,P1_Streak,P2_Streak
66,6/10/2022,10:00:00,Kunchurov D.,Yurenev O.,3,0,12,10,11,7,11,3,,,,,1,Sweep,0,1012.0,988.0,24.0,1.0,0.0,1.0,1,0
67,6/10/2022,10:05:00,Nadporozhskyi O.,Mishchenko V.,1,3,5,11,12,10,7,11,10.0,12.0,,,0,Secure,0,988.0,1012.0,24.0,0.0,1.0,1.0,0,1
68,6/10/2022,10:15:00,Hrstka T.,Herink J.,1,3,6,11,2,11,14,12,6.0,11.0,,,0,Secure,0,988.0,1012.0,24.0,0.0,1.0,1.0,0,1
71,6/10/2022,10:20:00,Turek T.,Papirnik O.,1,3,8,11,11,7,8,11,9.0,11.0,,,0,Secure,0,988.0,988.0,0.0,0.0,0.0,0.0,0,0
70,6/10/2022,10:20:00,Shkepu S.,Semipeadnii V.,3,0,11,2,11,4,13,11,,,,,1,Sweep,0,988.0,1012.0,24.0,0.0,1.0,1.0,0,1
69,6/10/2022,10:20:00,Lutskyi V.,Slozka M.,3,2,11,6,5,11,13,11,6.0,11.0,11.0,4.0,1,Neck & Neck,1,1023.2,1000.0,23.200000000000045,1.0,0.5,0.5,2,1
72,6/10/2022,10:25:00,Hordiichuk O.,Nakliutskyi A.,3,0,11,9,11,6,11,7,,,,,1,Sweep,0,1000.0,1000.0,0.0,0.5,0.5,0.0,0,1
73,6/10/2022,10:25:00,Masko Y.,Horbanenko O.,3,2,11,8,8,11,6,11,11.0,5.0,11.0,9.0,1,Recovery,0,988.0,1012.0,24.0,0.0,1.0,1.0,0,1
74,6/10/2022,10:30:00,Fedoryshyn I.,Sedin V.,3,0,11,3,11,8,11,7,,,,,1,Sweep,0,999.6,988.8,10.800000000000068,0.5,0.3333,0.16670000000000001,0,1
75,6/10/2022,10:30:00,Yakubov M.,Tsoi K.,3,2,18,16,11,13,7,11,11.0,3.0,11.0,6.0,1,Recovery,0,988.0,988.0,0.0,0.0,0.0,0.0,0,0
76,6/10/2022,10:35:00,Kolbasenko O.,Sklyarenko A.,1,3,13,11,9,11,8,11,7.0,11.0,,,0,Secure,0,1012.0,1012.0,0.0,1.0,1.0,0.0,1,1
77,6/10/2022,10:45:00,Lukes T.,Brozek M.,3,1,5,11,11,3,11,5,11.0,4.0,,,1,Secure,0,988.0,1012.0,24.0,0.0,1.0,1.0,0,1
78,6/10/2022,10:50:00,Fylypiv R.,Daragan S.,3,0,11,7,11,6,12,10,,,,,1,Sweep,0,1000.0,976.8,23.200000000000045,0.5,0.0,0.5,0,0
79,6/10/2022,10:50:00,Mul S.,Dubrovin V.,3,2,11,13,11,7,7,11,11.0,5.0,12.0,10.0,1,Secure,0,1012.0,1012.0,0.0,1.0,1.0,0.0,1,1
80,6/10/2022,10:50:00,Zachar M.,Marko J.,0,3,7,11,6,11,6,11,,,,,0,Sweep,0,1012.0,1012.0,0.0,1.0,1.0,0.0,1,1
81,6/10/2022,10:55:00,Baranovskiy S.,Cherevko R.,3,1,11,6,12,10,8,11,11.0,8.0,,,1,Secure,0,1012.0,1012.0,0.0,1.0,1.0,0.0,1,1
82,6/10/2022,10:55:00,Rak S.,Nikolenko S.,3,1,11,5,9,11,11,6,11.0,7.0,,,1,Secure,0,999.2,1024.0,24.799999999999955,0.5,1.0,0.5,0,2
84,6/10/2022,11:00:00,Zaitsev O.,Tupyk M.,2,3,7,11,11,3,7,11,11.0,6.0,8.0,11.0,0,Neck & Neck,1,1012.0,964.4,47.60000000000002,0.6667,0.0,0.6667,0,0
83,6/10/2022,11:00:00,Stukalov V.,Kunchurov D.,2,3,11,8,11,13,11,9,8.0,11.0,8.0,11.0,0,Secure,0,1024.0,1023.2,0.7999999999999545,1.0,1.0,0.0,2,2
85,6/10/2022,11:05:00,Skripnik S.,Nadporozhskyi O.,3,2,11,6,11,13,11,5,8.0,11.0,11.0,7.0,1,Neck & Neck,1,976.0,976.8,0.7999999999999545,0.0,0.0,0.0,0,0
86,6/10/2022,11:15:00,Hrstka T.,Lukes T.,3,2,3,11,10,12,11,6,11.0,6.0,12.0,10.0,1,Comeback,1,976.8,1000.8,24.0,0.0,0.5,0.5,0,1
